place_name,latitude,longitude
Victory Monument,13.7637,100.5383
Siam Station,13.7469,100.5346
CentralWorld,13.7466,100.5393
MBK Center,13.7447,100.5299
Samyan Mitrtown,13.7346,100.529
Chulalongkorn Hospital,13.7315,100.5364
Siriraj Hospital,13.7589,100.4853
Ramathibodi Hospital,13.7669,100.5268
Rajavithi Hospital,13.7664,100.536
Vajira Hospital,13.7804,100.5053
Mochit Bus Terminal,13.8136,100.5487
Chatuchak Park,13.8028,100.5537
Ari BTS Station,13.7797,100.5447
Saphan Khwai BTS Station,13.7936,100.5497
Kasetsart University,13.8473,100.5715
Bang Wa BTS Station,13.7208,100.4578
Bearing BTS Station,13.6613,100.6012
Ekkamai Bus Terminal,13.7196,100.5848
Phrom Phong BTS Station,13.7305,100.5696
Asok BTS Station,13.7373,100.5605
Sala Daeng BTS Station,13.7286,100.5345
Silom Complex,13.7292,100.5351
Hua Lamphong Station,13.7378,100.5171
Future Park Rangsit,13.987,100.6184
The Mall Bangkapi,13.7658,100.6425
Fashion Island,13.8252,100.678
ICONSIAM,13.7262,100.51
Tha Phra MRT Station,13.7296,100.4747
Pinklao Bus Stop,13.7773,100.4768
Bang Sue Grand Station,13.8032,100.5408
Don Mueang Airport,13.9125,100.6069
Suvarnabhumi Airport,13.69,100.7501
Lat Phrao MRT Station,13.8132,100.5611
Ratchada MRT Station,13.7699,100.5747
Huai Khwang MRT Station,13.7781,100.5731
Terminal 21 Asok,13.7376,100.5602
Seacon Square Srinakarin,13.6946,100.6486
Mega Bangna,13.646,100.6802
Bang Khae MRT Station,13.7118,100.4087
Taling Chan Station,13.7761,100.4568
