สถานี,มีลิฟต์,ทางลาดสำหรับรถเข็น,พื้นที่สำหรับหนีภัยของคนพิการ,ลิฟต์ราวบันไดสำหรับคนพิการ
คูคต,1,1,1,0
แยก คปอ.,1,1,1,0
พิพิธภัณฑ์กองทัพอากาศ,1,1,1,0
โรงพยาบาลภูมิพลอดุลยเดช,1,1,1,0
สะพานใหม่,1,1,1,0
สายหยุด,1,1,1,0
พหลโยธิน 59,1,1,1,0
วัดพระศรีมหาธาตุ,1,1,1,0
กรมทหารราบที่ 11,1,1,1,0
บางบัว,1,1,1,0
กรมป่าไม้,1,1,1,0
มหาวิทยาลัยเกษตรศาสตร์,1,1,1,0
เสนานิคม,1,1,1,0
รัชโยธิน,1,1,1,0
พหลโยธิน 24,1,1,1,0
ห้าแยกลาดพร้าว,1,1,1,1
สถานีหมอชิต,1,1,1,1
สะพานควาย,1,1,1,1
อารีย์,1,1,1,0
สนามเป้า ,1,1,1,0
อนุสาวรีย์ชัยสมรภูมิ,1,1,1,0
สถานีพญาไท,1,1,1,1
ราชเทวี,1,1,1,1
สถานีสยาม,1,0,1,0
ชิดลม,1,0,1,0
สถานีเพลินจิต,1,0,1,1
นานา,1,1,1,1
สถานีอโศก,1,0,1,0
พร้อมพงษ์,1,1,1,1
ทองหล่อ,1,0,1,0
เอกมัย,1,1,1,0
สถานีพระโขนง,1,1,1,1
สถานีอ่อนนุช,1,1,1,1
บางจาก,1,1,1,1
ปุณณวิถี,1,1,1,0
อุดมสุข,1,1,1,0
สถานีบางนา,1,1,1,0
แบริ่ง,1,1,1,0
สำโรง,1,1,1,0
ปู่เจ้า,1,1,1,0
ช้างเอราวัณ,1,1,1,0
โรงเรียนนายเรือ,1,1,1,0
ปากน้ำ,1,1,1,0
ศรีนครินทร์,1,1,1,0
แพรกษา,1,1,1,0
สายลวด,1,1,1,0
เคหะฯ,1,1,1,0
