place_name,latitude,longitude
Siam Paragon,13.7466,100.5347
CentralWorld,13.746,100.5393
MBK Center,13.7448,100.5299
Terminal 21 Asok,13.7379,100.5605
EmQuartier,13.7316,100.5697
ICONSIAM,13.7262,100.5101
Future Park Rangsit,13.9885,100.6182
Fashion Island,13.8265,100.6783
The Mall Bangkapi,13.7658,100.6426
Central Pinklao,13.7786,100.4769
Mega Bangna,13.6465,100.6803
Seacon Square,13.6942,100.6471
Paradise Park,13.6949,100.6488
Chatuchak Park,13.8163,100.5578
Victory Monument,13.763,100.5383
Bang Khae Market,13.7106,100.4098
Don Mueang Airport,13.9126,100.6067
Suvarnabhumi Airport,13.69,100.7501
Kasetsart University,13.8479,100.5712
Mahidol University Salaya,13.7942,100.3226
Chulalongkorn University,13.7367,100.533
Bangna Village,13.6684,100.6352
Muang Thong Thani,13.9123,100.5478
Asiatique The Riverfront,13.7045,100.502
The Crystal Ratchapruek,13.8051,100.442
Central Rama 9,13.757,100.5653
Lotus Bangna,13.6692,100.6341
Big C Ratchadamri,13.7478,100.5401
Samyan Mitrtown,13.7285,100.5291
Union Mall,13.8131,100.56
