idstation,name,location,id_btsline,btsline,dcode,dname,station_co,lat,lng
N8,สถานีหมอชิต,บริเวณหน้าสวนจตุจักร เป็นจุดเชื่อมต่อการเดินทางที่สำคัญของกรุงเทพฯ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,สถานีเชื่อมต่อเส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน สถานี BL13,13.80262297,100.5538124
N7,สถานีสะพานควาย,โรงพยาบาลเปาโล-ที่ทำการไปรษณีย์สามเสน,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1014,เขตพญาไท,,13.79386254,100.5497496
N5,สถานีอารีย์,บริเวณสามแยกซอยพหลโยธิน 7 (อารีย์),2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1014,เขตพญาไท,,13.77954984,100.5445779
N4,สถานีสนามเป้า,บริเวณด้านหน้ากองพลทหารม้าที่ 2 รักษาพระองค์ ด้านทิศใต้ของซอยพหลโยธิน 3,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1014,เขตพญาไท,,13.77255111,100.542072
N3,สถานีอนุสาวรีย์ชัยสมรภูมิ,บริเวณทิศใต้ของอนุสาวรีย์ชัยสมรภูมิ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1037,เขตราชเทวี,,13.76270271,100.5370322
N2,สถานีพญาไท,ด้านทิศใต้ของทางแยกพญาไท (จุดบรรจบถนนพญาไทและถนนศรีอยุธยา),2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1037,เขตราชเทวี,สถานีเชื่อมต่อเส้นทางรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ (Airport Rail Link),13.75695565,100.5338228
N1,สถานีราชเทวี,ถนนพญาไท ด้านทิศใต้ของทางแยกราชเทวี จุดบรรจบถนนพญาไทและถนนเพชรบุรี ใกล้สะพานหัวช้าง,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1037,เขตราชเทวี,สถานีเชื่อมต่อเส้นทางเรือโดยสารคลองแสนแสบ  ท่าสะพานหัวช้าง,13.75181733,100.5315607
W1,สถานีสนามกีฬาแห่งชาติ,หน้าสนามกีฬาแห่งชาติ,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1007,เขตปทุมวัน,,13.74650803,100.5291682
CEN,สถานีสยาม,บนถนนพระรามที่ 1 ระหว่างทางแยกปทุมวัน (จุดบรรจบถนนพระรามที่ 1 และถนนพญาไท) กับทางแยกเฉลิมเผ่า,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1007,เขตปทุมวัน,สถานีร่วมระหว่างเส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม)กับเส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท,13.74565407,100.5342208
S1,สถานีราชดำริ,ระหว่างทางแยกราชดำริซึ่งเป็นจุดบรรจบกับถนนสารสิน,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1007,เขตปทุมวัน,,13.73945669,100.5394511
S2,สถานีศาลาแดง,ยกระดับเหนือถนนสีลม ใจกลางย่านธุรกิจถนนสีลม ใกล้กับทางแยกศาลาแดง,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1004,เขตบางรัก,สถานีเชื่อมต่อเส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน สถานี BL26,13.72851545,100.5342387
S3,สถานีช่องนนทรีย์,บนถนนนราธิวาสราชนครินทร์ บริเวณซอยพิพัฒน์ 2,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1004,เขตบางรัก,สถานีเชื่อมต่อรถโดยสารด่วนพิเศษ สายสาทร–ราชพฤกษ์ สถานีสาทร,13.72385423,100.5293727
S5,สถานีสุรศักดิ์,หน้าสมาคมหอการค้าไทย-จีน,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1028,เขตสาทร,,13.71930141,100.5215673
S6,สถานีสะพานตากสิน,เชิงสะพานสมเด็จเจ้าพระยาตากสิน(สาทร),1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1004,เขตบางรัก,สถานีเชือมต่อเส้นทางเดินเรือด่วนเจ้าพระยา  ท่าสาทร,13.7188135,100.5141766
E1,สถานีชิดลม,"ด้านทิศตะวันตกของทางแยกชิดลม จุดบรรจบถนนเพลินจิต, ถนนชิดลม และถนนหลังสวน ใกล้ทางแยกราชประสงค์",2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1007,เขตปทุมวัน,,13.74409858,100.5430322
E2,สถานีเพลินจิต,ด้านทิศตะวันออกของทางแยกเพลินจิต (จุดบรรจบถนนเพลินจิตและถนนวิทยุ) ใกล้จุดตัดทางพิเศษเฉลิมมหานคร,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1007,เขตปทุมวัน,,13.74302972,100.5491559
E3,สถานีนานา,ต้นถนนสุขุมวิท บริเวณปากซอยสุขุมวิท 6 และซอยสุขุมวิท 9,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1039,เขตวัฒนา,,13.74063159,100.5553355
E4,สถานีอโศก,ถนนสุขุมวิท ปากซอยสุขุมวิท 14 และซอยสุขุมวิท 19 ด้านทิศตะวันตกของทางแยกอโศกมนตรี,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1033,เขตคลองเตย,สถานีเชื่อมต่อเส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน สถานี BL22,13.73701993,100.560425
E5,สถานีพร้อมพงษ์,ถนนสุขุมวิท บริเวณปากซอยสุขุมวิท 24 (เกษม) และซอยสุขุมวิท 39 (พร้อมพงษ์),2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1039,เขตวัฒนา,,13.73051676,100.5696098
E6,สถานีทองหล่อ,ถนนสุขุมวิท บริเวณปากซอยสุขุมวิท 55 (ทองหล่อ) และซอยสุขุมวิท 38 (สันติสุข),2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1033,เขตคลองเตย,,13.72429562,100.5784631
E7,สถานีเอกมัย,บริเวณปากซอยสุขุมวิท 42 ด้านทิศตะวันออกของแยกเอกมัยใต้ จุดบรรจบถนนสุขุมวิทและซอยสุขุมวิท 63,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1033,เขตคลองเตย,,13.71955261,100.5851253
E8,สถานีพระโขนง,จุดบรรจบถนนสุขุมวิท ถนนพระรามที่ 4 ถนนสุขุมวิท 71ระหว่างซอยสุขุมวิท 44/1-46 กับซอยสุขุมวิท 67-69,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1039,เขตวัฒนา,,13.71526531,100.5911801
